1A,num_private_funds,total_gross_assets,city,state
"STIFEL, NICOLAUS & COMPANY, INCORPORATED",230,2991057185,ST LOUIS,MO
"FOCUS PARTNERS WEALTH, LLC",39,1770089252,ST. LOUIS,MO
THOMPSON STREET CAPITAL MANAGER LLC,17,9833460344,ST. LOUIS,MO
"ELMTREE FUNDS, LLC",15,7217400625,ST. LOUIS,MO
"ARGOS CAPITAL PARTNERS, LLC",15,2036184045,ST. LOUIS,MO
"COMPASS GROUP MANAGEMENT, LLC",14,1753779762,ST. LOUIS,MO
"ACR ALPINE CAPITAL RESEARCH, LLC",10,650491754,ST. LOUIS,MO
"LEWIS & CLARK EQUITY PARTNERS, LLC",8,371613171,ST. LOUIS,MO
"CONWAY INVESTMENT RESEARCH, LLC",6,1074617330,SAINT LOUIS,MO
"BROADVIEW MANAGEMENT, LLC",4,670000000,ST. LOUIS,MO
"HARBOUR GROUP INDUSTRIES, INC.",4,405851000,ST. LOUIS,MO
ANDERSON HOAGLAND & CO,4,48315200,ST LOUIS,MO
FOURTHSTONE LLC,3,957442034,ST. LOUIS,MO
"PROFUSION FINANCIAL, INC.",3,80051000,ST. LOUIS,MO
"STIEVEN CAPITAL ADVISORS, L.P.",2,564739757,ST. LOUIS,MO
WILSQUARE CAPITAL LLC,2,138684156,ST. LOUIS,MO
"ASCENSION INVESTMENT MANAGEMENT, LLC",1,14798521234,ST. LOUIS,MO
SPARROW CAPITAL MANAGEMENT INC,1,8410362,ST. LOUIS,MO
DAYTONA STREET CAPITAL LLC,1,4267668,SAINT LOUIS,MO
SIGNIFY WEALTH LLC,1,915000,ST. LOUIS,MO
